Traffic, Throughput, Delay
0.0005, 0.04741, 0
0.001, 0.09008, 0
0.0015, 0.12925, 0
0.002, 0.16309, 0
0.0025, 0.19387, 0
0.003, 0.22203, 0
0.0035, 0.24623, 0
0.004, 0.26787, 0
0.0045, 0.28669, 0
0.005, 0.30373, 0
0.0055, 0.31779, 0
0.006, 0.33078, 0
0.0065, 0.33712, 0
0.007, 0.34706, 0
0.0075, 0.3528, 0
0.008, 0.3596, 0
0.0085, 0.36482, 0
0.009, 0.36943, 0
0.0095, 0.36882, 0
0.01, 0.36979, 0
0.0105, 0.36937, 0
0.011, 0.3702, 0
0.0115, 0.36743, 0
0.012, 0.36359, 0
0.0125, 0.36126, 0
0.013, 0.35951, 0
0.0135, 0.3541, 0
0.014, 0.3464, 0
0.0145, 0.3454, 0
0.015, 0.33928, 0
0.0155, 0.33778, 0
0.016, 0.32866, 0
0.0165, 0.32281, 0
0.017, 0.32316, 0
0.0175, 0.31457, 0
0.018, 0.3061, 0
0.0185, 0.3052, 0
0.019, 0.29023, 0
0.0195, 0.28813, 0
0.02, 0.28048, 0
0.0205, 0.26857, 0
0.021, 0.26537, 0
0.0215, 0.26432, 0
0.022, 0.25477, 0
0.0225, 0.2452, 0
0.023, 0.25883, 0
0.0235, 0.24171, 0
0.024, 0.222, 0
0.0245, 0.23612, 0
0.025, 0.21777, 0
0.0255, 0.21033, 0
0.026, 0.21469, 0
0.0265, 0.19735, 0
0.027, 0.19784, 0
0.0275, 0.19742, 0
0.028, 0.18044, 0
0.0285, 0.18214, 0
0.029, 0.18421, 0
0.0295, 0.16274, 0
0.03, 0.16295, 0
