Traffic, Throughput, Delay
0.0005, 0.04778, 140
0.001, 0.08281, 230
0.0015, 0.10616, 273
0.002, 0.12444, 317
0.0025, 0.13416, 347
0.003, 0.14143, 376
0.0035, 0.14523, 411
0.004, 0.15309, 411
0.0045, 0.15571, 427
0.005, 0.15923, 437
0.0055, 0.16585, 428
0.006, 0.16202, 460
0.0065, 0.16599, 455
0.007, 0.16757, 462
0.0075, 0.1706, 462
0.008, 0.17257, 463
0.0085, 0.17436, 464
0.009, 0.17387, 474
0.0095, 0.16876, 494
0.01, 0.17406, 482
0.0105, 0.17817, 473
0.011, 0.18158, 468
0.0115, 0.17236, 501
0.012, 0.17326, 503
0.0125, 0.17889, 487
0.013, 0.17715, 498
0.0135, 0.17685, 502
0.014, 0.1779, 501
0.0145, 0.17518, 511
0.015, 0.18053, 495
0.0155, 0.18021, 500
0.016, 0.1764, 513
0.0165, 0.18494, 489
0.017, 0.17901, 510
0.0175, 0.18047, 507
0.018, 0.1795, 512
0.0185, 0.18086, 507
0.019, 0.18043, 510
0.0195, 0.1823, 505
0.02, 0.18288, 506
0.0205, 0.1805, 516
0.021, 0.18478, 504
0.0215, 0.18066, 517
0.022, 0.18428, 507
0.0225, 0.18338, 510
0.023, 0.18328, 510
0.0235, 0.18343, 510
0.024, 0.18091, 521
0.0245, 0.18302, 515
0.025, 0.18498, 509
0.0255, 0.1855, 509
0.026, 0.18153, 522
0.0265, 0.18003, 526
0.027, 0.18395, 514
0.0275, 0.18276, 519
0.028, 0.18321, 520
0.0285, 0.18266, 522
0.029, 0.18675, 510
0.0295, 0.18442, 518
0.03, 0.18453, 518
